"Name","DisplayName","Status"
"SecurityHealthService","Windows Security Service","Running"
"SENS","System Event Notification Service","Running"
"ShellHWDetection","Shell Hardware Detection","Running"
"Spooler","Print Spooler","Running"
"SQLTELEMETRY","SQL Server CEIP service (MSSQLSERVER)","Running"
"SQLWriter","SQL Server VSS Writer","Running"
"SSDPSRV","SSDP Discovery","Running"
"SstpSvc","Secure Socket Tunneling Protocol Service","Running"
"StateRepository","State Repository Service","Running"
"StiSvc","Windows Image Acquisition (WIA)","Running"
"StorSvc","Storage Service","Running"
"SysMain","SysMain","Running"
"SystemEventsBroker","System Events Broker","Running"
"TbtHostControllerService","Thunderbolt(TM) Application Launcher","Running"
"TbtP2pShortcutService","Thunderbolt(TM) Peer to Peer Shortcut","Running"
"TextInputManagementService","Text Input Management Service","Running"
"Themes","Themes","Running"
"TimeBrokerSvc","Time Broker","Running"
"TokenBroker","Web Account Manager","Running"
"TrkWks","Distributed Link Tracking Client","Running"
"TrustedInstaller","Windows Modules Installer","Running"
"UdkUserSvc_89c91","Udk User Service_89c91","Running"
"UnistoreSvc_89c91","User Data Storage_89c91","Running"
"UserDataSvc_89c91","User Data Access_89c91","Running"
"UserManager","User Manager","Running"
"ushupgradesvc","Credential Vault Upgrade Service","Running"
"UsoSvc","Update Orchestrator Service","Running"
"VaultSvc","Credential Manager","Running"
"vds","Virtual Disk","Running"
"WavesSysSvc","Waves Audio Services","Running"
"Wcmsvc","Windows Connection Manager","Running"
"WdiSystemHost","Diagnostic System Host","Running"
"WdNisSvc","Microsoft Defender Antivirus Network Inspection Service","Running"
"webthreatdefusersvc_89c91","Web Threat Defense User Service_89c91","Running"
"WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service","Running"
"whesvc","Windows Health and Optimized Experiences","Running"
"WinDefend","Microsoft Defender Antivirus Service","Running"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","Running"
"Winmgmt","Windows Management Instrumentation","Running"
"WlanSvc","WLAN AutoConfig","Running"
"wlidsvc","Microsoft Account Sign-in Assistant","Running"
"wmiApSrv","WMI Performance Adapter","Running"
"WMIRegistrationService","Intel(R) Management Engine WMI Provider Registration","Running"
"WpnService","Windows Push Notifications System Service","Running"
"WpnUserService_89c91","Windows Push Notifications User Service_89c91","Running"
"WSAIFabricSvc","WSAIFabricSvc","Running"
"wscsvc","Security Center","Running"
"WSearch","Windows Search","Running"
"wuauserv","Windows Update","Running"
